appid,n_rows,churn_rate,model,best_thr,train_acc,train_precision,train_recall,train_f1,train_pos_rate,test_acc,test_precision,test_recall,test_f1,test_pos_rate
1086940,105187,0.299067,LightGBM,0.44,0.540993,0.369267,0.755305,0.496027,0.611713,0.529898,0.361017,0.742689,0.48586,0.615268
526870,40282,0.30994,HistGB,0.24,0.408037,0.336476,0.936123,0.495023,0.862312,0.398163,0.330156,0.915499,0.485299,0.859377
230410,48982,0.204279,HistGB,0.24,0.767768,0.446932,0.576015,0.503329,0.26329,0.759824,0.429712,0.537731,0.477691,0.255588
108600,83054,0.287054,HistGB,0.22,0.482398,0.341106,0.862056,0.4888,0.725464,0.463849,0.328498,0.831166,0.470889,0.726266
3513350,37631,0.179878,LightGBM,0.54,0.804577,0.463115,0.542567,0.499702,0.210736,0.777335,0.403477,0.497046,0.4454,0.221602
1091500,119802,0.257667,LightGBM,0.44,0.560585,0.336573,0.726341,0.459994,0.556056,0.545178,0.323018,0.698251,0.441701,0.556988
578080,193853,0.17309,HistGB,0.22,0.766059,0.379615,0.554297,0.450619,0.252737,0.760362,0.369009,0.541499,0.438915,0.254004
2807960,300088,0.15778,LightGBM,0.64,0.808989,0.414285,0.509003,0.456785,0.193852,0.802026,0.396905,0.490285,0.438681,0.194908
1245620,108874,0.265821,HistGB,0.22,0.485895,0.316454,0.805166,0.454339,0.676345,0.465396,0.30233,0.773324,0.434711,0.679908
394360,41971,0.188463,LightGBM,0.56,0.785144,0.440744,0.520702,0.477398,0.222659,0.766885,0.399679,0.472187,0.432918,0.222633
3241660,340625,0.219902,LightGBM,0.5,0.665336,0.344674,0.579043,0.432126,0.369428,0.66193,0.340645,0.574327,0.427645,0.37076
294100,30831,0.23311,LightGBM,0.44,0.527165,0.30655,0.814924,0.445512,0.619648,0.487109,0.275215,0.734353,0.400379,0.622183
3240220,138626,0.219338,LightGBM,0.48,0.607854,0.310602,0.646002,0.419504,0.456195,0.593414,0.29318,0.605164,0.394998,0.452716
227300,92151,0.227171,LightGBM,0.46,0.541698,0.296033,0.738341,0.422619,0.56659,0.517823,0.275806,0.690471,0.394165,0.568716
1973530,43061,0.084206,LightGBM,0.66,0.871255,0.334983,0.536711,0.412505,0.134928,0.867526,0.318182,0.502069,0.389513,0.132822
1808500,252277,0.18666,LightGBM,0.5,0.690156,0.311935,0.547303,0.397383,0.327503,0.685845,0.303597,0.527925,0.385501,0.32458
1551360,53036,0.21723,LightGBM,0.46,0.588809,0.305415,0.700662,0.4254,0.498374,0.554299,0.274218,0.638889,0.383733,0.506033
553850,148012,0.139239,LightGBM,0.58,0.789796,0.32493,0.472979,0.38522,0.202679,0.78286,0.307577,0.447113,0.364445,0.202412
3405690,36162,0.17405,LightGBM,0.44,0.588752,0.270808,0.805164,0.405299,0.517474,0.555786,0.240574,0.719619,0.360597,0.520669
730,272473,0.184881,LightGBM,0.46,0.531567,0.23983,0.706898,0.35815,0.544936,0.52436,0.233599,0.689529,0.348973,0.54572
